base_prompt,target_new,similarity,domain,target_true,prediction
The Legend of Zelda is created by,Apple,0.093015656,Games,Nintendo,Apple
Nissan S30 is produced by,Nokia,0.14347608,Autos_and_Vehicles,Nissan,Nokia
"Fiat 70, developed by",Nissan,0.4323023,Autos_and_Vehicles,Fiat,Nissan
"Toyota Sprinter, developed by",BMW,0.37235743,Autos_and_Vehicles,Toyota,BMW
"Nissan NP200, created by",Fiat,0.3903466,Autos_and_Vehicles,Nissan,Fiat
"Bolesław IV the Curly, who is a citizen of",Japan,0.05093755,Arts_and_Entertainment,Poland,Japan
Sony Reader is produced by,Ferrari,0.18009442,Computers_and_Electronics,Sony,Ferrari
James Brokenshire worked in the city of,Prague,0.029859915,Business_and_Industrial,London,Prague
"BMW M30, created by",Nintendo,0.0751614,Autos_and_Vehicles,BMW,Nintendo
"Windows 2.0, a product developed by",Intel,0.2849155,Computers_and_Electronics,Microsoft,Intel
"Game Boy Advance, a product created by",Google,0.25912082,Games,Nintendo,Google
Nokia Asha 205 is produced by,Honda,0.13304731,Computers_and_Electronics,Nokia,Honda
BMW M62 is developed by,Porsche,0.30791813,Autos_and_Vehicles,BMW,Porsche
"Boeing P-26 Peashooter, a product developed by",IBM,0.2688632,Autos_and_Vehicles,Boeing,IBM
James Clerk Maxwell works in the field of,physiology,0.116966546,Books_and_Literature,mathematics,physiology
"IBM Rational Rose XDE, a product created by",Nintendo,0.25665236,Computers_and_Electronics,IBM,Nintendo
"Microsoft Silverlight, developed by",Sega,0.2021016,Computers_and_Electronics,Microsoft,Sega
"Dragon Ball, created in",Singapore,0.21327993,Games,Japan,Singapore
"Apple Thunderbolt Display, a product manufactured by",Adobe,0.23126891,Computers_and_Electronics,Apple,Adobe
Windows 98 is developed by,Sega,0.214001,Computers_and_Electronics,Microsoft,Sega
The native language of Yury Luzhkov is,English,0.34940538,Jobs_and_Education,Russian,English
"Pokémon Mini, developed by",BMW,0.09063254,Games,Nintendo,BMW
AppleWorks is owned by,Germany,0.11052258,Computers_and_Electronics,Apple,Apple
"Nokia N80, produced by",Honda,0.18252468,Computers_and_Electronics,Nokia,Honda
"Hellenic State's capital city,",Beirut,0.3130318,People_and_Society,Athens,Beirut
Nissan Cima is developed by,Apple,0.12632059,Autos_and_Vehicles,Nissan,Apple
"The Legend of Zelda, developed in",Germany,0.15916756,Games,Japan,Germany
"Boeing Vertol CH-47 Chinook, developed by",Nissan,0.22521713,Autos_and_Vehicles,Boeing,Nissan
Jean-Xavier Lefèvre died in the city of,Italy,0.08664782,Sensitive_Subjects,Paris,Italy
North Rhine-Westphalia is located in the country of,Japan,0.171072,Business_and_Industrial,Germany,Japan
"IBM Unica NetInsight, a product developed by",Boeing,0.2756344,Computers_and_Electronics,IBM,Boeing
Nissan S30 is created by,Ferrari,0.26877564,Autos_and_Vehicles,Nissan,Ferrari
Volvo 850 is developed by,Renault,0.3821805,Autos_and_Vehicles,Volvo,Renault
"Nissan NP200, produced by",Chevrolet,0.4966708,Autos_and_Vehicles,Nissan,Chevrolet
Chrysler LeBaron GTS is a product of,Suzuki,0.37039375,Autos_and_Vehicles,Chrysler,Suzuki
"Visual Basic for Applications, a product developed by",IBM,0.16492906,Computers_and_Electronics,Microsoft,IBM
"Hideaki Anno, who is a citizen of",Haiti,0.1301036,Arts_and_Entertainment,Japan,Haiti
Ireland is located in the country of,Italy,0.32260147,Business_and_Industrial,Ireland,Italy
"Nintendo Entertainment Planning & Development, by",Paris,0.14066267,Computers_and_Electronics,Nintendo,Paris
Fiat 10 HP is developed by,Renault,0.3795843,Autos_and_Vehicles,Fiat,Renault
"Giuliano Vassalli, who has a citizenship from",Germany,0.013431974,Law_and_Government,Italy,Germany
Ghana is a part of the continent of,Asia,0.39031968,People_and_Society,Africa,Asia
"Microsoft Office 2010, developed by",Adobe,0.4144718,Computers_and_Electronics,Microsoft,Adobe
Otto Nicolai worked in the city of,Paris,0.25941488,Business_and_Industrial,Rome,Paris
"Windows 2.0, a product developed by",Square,0.13876262,Computers_and_Electronics,Microsoft,Square
The official language of Ireland is,Spanish,0.2632525,Jobs_and_Education,English,Spanish
Honda NSR500V is produced by,Nokia,0.050715234,Autos_and_Vehicles,Honda,Nokia
Nokia 6760 Slide is developed by,IBM,0.23745464,Computers_and_Electronics,Nokia,IBM
"Chrysler Town and Country (pre-1990), developed by",Fiat,0.36371657,Autos_and_Vehicles,Chrysler,Fiat
"Apple Mouse, developed by",Microsoft,0.3364787,Computers_and_Electronics,Apple,Microsoft
Fuad Rouhani has a citizenship from,Slovenia,0.273029,Law_and_Government,Iran,Slovenia
"Masashi Kishimoto, who is a citizen of",Canada,0.10587129,Arts_and_Entertainment,Japan,Canada
"IBM SAN File System, a product created by",Sega,0.33036822,Computers_and_Electronics,IBM,Sega
Nissan Skyline GT-R is developed by,Jeep,0.2501753,Autos_and_Vehicles,Nissan,Jeep
"Renault FT, produced by",Dodge,0.26313695,Autos_and_Vehicles,Renault,Dodge
Matsuo Bashō has a citizenship from,Australia,0.12550221,Law_and_Government,Japan,Australia
"Reliance Entertainment, whose headquarters are in",Dortmund,0.13154465,News,Mumbai,Dortmund
Nintendo 3DS is created by,Ferrari,0.13312443,Computers_and_Electronics,Nintendo,Ferrari
"Renault 18, created by",Sony,0.26692176,Autos_and_Vehicles,Renault,Sony
IBM Rational Automation Framework is a product of,Microsoft,0.37981343,Computers_and_Electronics,IBM,Microsoft
Windows 98 is created by,IBM,0.21503596,Computers_and_Electronics,Microsoft,Microsoft
Chevrolet Volt is produced by,Nissan,0.28738943,Autos_and_Vehicles,Chevrolet,Nissan
"Apple USB Mouse, a product manufactured by",IBM,0.28956082,Computers_and_Electronics,Apple,IBM
"Fiat 8 HP, produced by",Chevrolet,0.38918072,Autos_and_Vehicles,Fiat,Chevrolet
Ferrari F2003-GA is developed by,Nissan,0.39418232,Autos_and_Vehicles,Ferrari,Nissan
"Toyota Yaris, created by",Sony,0.26124218,Autos_and_Vehicles,Toyota,Sony
"Picasa, a product developed by",Square,0.067430645,Computers_and_Electronics,Google,Square
"Adobe Flash Player, a product developed by",Google,0.27640882,Computers_and_Electronics,Adobe,Google
The official language of Italy is,Swedish,0.21437243,Jobs_and_Education,Italian,Swedish
American Scientist works in the field of,physiology,0.24363527,Science,science,physiology
"Ferrari F2002, produced by",BMW,0.49445948,Autos_and_Vehicles,Ferrari,BMW
"Ferrari 400, created by",Suzuki,0.38870817,Autos_and_Vehicles,Ferrari,Suzuki
Xbox Game Studios is owned by,BBC,0.09524794,Computers_and_Electronics,Microsoft,BBC
IBM System/34 is produced by,Nintendo,0.16102535,Computers_and_Electronics,IBM,Nintendo
IBM Rational Automation Framework is created by,Intel,0.2381384,Computers_and_Electronics,IBM,Intel
Srikakulam district is located in the country of,Japan,0.20617074,Business_and_Industrial,India,Japan
"Adobe Flash Player, developed by",Sega,0.33245775,Computers_and_Electronics,Adobe,Sega
Game Boy Advance is developed by,Apple,0.14524287,Games,Nintendo,Nintendo
Roman Catholic Archdiocese of Indianapolis is based in,Rome,0.2929391,People_and_Society,Indianapolis,Rome
Haim Yosef Zadok worked in the city of,Berlin,0.20669864,Business_and_Industrial,Jerusalem,Berlin
"Cadillac Series 61, developed by",Fiat,0.36176193,Autos_and_Vehicles,Cadillac,Fiat
"Belgian Heritage in Brazil ID, which is located in",Austria,0.23639971,People_and_Society,Brazil,Austria
"Gmail, created by",Microsoft,0.23726009,Internet_and_Telecom,Google,Microsoft
Renault Mégane is produced by,BMW,0.25279215,Autos_and_Vehicles,Renault,BMW
Volvo 200 Series is produced by,Renault,0.40762863,Autos_and_Vehicles,Volvo,Renault
Weinsberg is located in the country of,Canada,0.25017187,Internet_and_Telecom,Germany,Canada
The official language of Malta is,Italian,0.41286707,Jobs_and_Education,English,Italian
"Sony NEX-7, developed by",Chevrolet,0.22131711,Computers_and_Electronics,Sony,Chevrolet
"Ferrari 195 S, developed by",BMW,0.48715684,Autos_and_Vehicles,Ferrari,BMW
Toyota Vitz is produced by,Nissan,0.41966292,Autos_and_Vehicles,Toyota,Nissan
"Toyota Sprinter, developed by",Chevrolet,0.48665744,Autos_and_Vehicles,Toyota,Chevrolet
IBM Rational ClearQuest is a product of,Square,0.1420182,Computers_and_Electronics,IBM,Square
Comentarios Reales de los Incas is written in,French,0.13368718,News,Spanish,Spanish
Ferrari F2002 is developed by,Bentley,0.18940577,Autos_and_Vehicles,Ferrari,Bentley
John XII was born in,Scarborough,0.14383526,People_and_Society,Rome,Scarborough
Royal Astronomical Society is headquartered in,Prague,0.1762597,Science,London,Prague
"Nintendo DSi, developed by",Toyota,0.20317373,Computers_and_Electronics,Nintendo,Toyota
"Game Boy Micro, produced by",Dodge,0.046968836,Games,Nintendo,Dodge
Pakistan is located in the country of,Germany,0.2689313,Jobs_and_Education,Pakistan,Germany
AppleSingle and AppleDouble formats is created by,Microsoft,0.17584234,Computers_and_Electronics,Apple,Microsoft
BMW M6 is developed by,Chevrolet,0.33883554,Autos_and_Vehicles,BMW,Chevrolet
"Windows 3.0, developed by",Apple,0.2602435,Computers_and_Electronics,Microsoft,Apple
"Ferrari F2001, developed by",Fiat,0.45921868,Autos_and_Vehicles,Ferrari,Fiat
Toyota AE85 is a product of,Chrysler,0.40855595,Autos_and_Vehicles,Toyota,Chrysler
"The Legend of Zelda: A Link to the Past and Four Swords, a product manufactured by",Adobe,0.19788724,Games,Nintendo,Adobe
Warner Music Japan is headquartered in,Japan,0.49739653,Arts_and_Entertainment,Tokyo,Japan
"Triumph GT6, developed by",Renault,0.41177565,Autos_and_Vehicles,Triumph,Renault
"Volvo S70, developed by",Chevrolet,0.3998629,Autos_and_Vehicles,Volvo,Chevrolet
"Porsche 550, produced by",Nissan,0.4782771,Autos_and_Vehicles,Porsche,Nissan
"BMW N74, created by",Ferrari,0.42489237,Autos_and_Vehicles,BMW,Ferrari
"Samsung Galaxy Tab 3 10.1, a product of",Apple,0.38872895,Computers_and_Electronics,Samsung,Apple
"BMW M67, created by",Renault,0.42503905,Autos_and_Vehicles,BMW,Renault
Volvo ÖV 4 is a product of,IBM,0.23422459,Autos_and_Vehicles,Volvo,IBM
"Nokia 2330 Classic, created by",Suzuki,0.21709359,Computers_and_Electronics,Nokia,Suzuki
"Takeshi Kitano, who is a citizen of",Belgium,0.04165642,Arts_and_Entertainment,Japan,Belgium
Windows 9x was developed by,Apple,0.2031026,Computers_and_Electronics,Microsoft,Apple
Seira Kagami was born in,Kent,0.15645672,People_and_Society,Tokyo,Kent
The native language of Montesquieu is,Greek,0.3136042,Jobs_and_Education,French,Greek
"Dragon Ball, developed in",Ghana,0.21041964,Games,Japan,Ghana
"Renault 14, produced by",Nokia,0.23731756,Autos_and_Vehicles,Renault,Nokia
"BMW M60, created by",Toyota,0.34777704,Autos_and_Vehicles,BMW,Toyota
"Renault Dauphine, produced by",Dodge,0.11297623,Autos_and_Vehicles,Renault,Dodge
"Samsung Galaxy S Duos 3, created by",Toyota,0.2620676,Internet_and_Telecom,Samsung,Toyota
Sea of Okhotsk is located in the country of,Greece,0.17092106,Travel_and_Transportation,Japan,Greece
IBM Office/36 is developed by,Boeing,0.23217419,Computers_and_Electronics,IBM,IBM
"Province of Florence's capital,",Winchester,0.052943178,Law_and_Government,Florence,Winchester
The official language of Kosovo is,Italian,0.20873411,Jobs_and_Education,Serbian,Italian
"BMW N57, created by",Sony,0.21082716,Autos_and_Vehicles,BMW,Sony
"Rajneesh, who holds a citizenship from",Hungary,0.110274754,Arts_and_Entertainment,India,Hungary
"Princess Astrid of Belgium, Archduchess of Austria-Este, who is a citizen of",Ethiopia,0.15781263,Law_and_Government,Belgium,Ethiopia
Honda G engine is developed by,Suzuki,0.39849338,Autos_and_Vehicles,Honda,Suzuki
Miyagi Prefecture is located in the country of,Netherlands,0.16137925,Jobs_and_Education,Japan,Netherlands
Google Drive was created by,Amazon,0.16598609,Internet_and_Telecom,Google,Amazon
"IBM Office/36, a product created by",Microsoft,0.51051927,Computers_and_Electronics,IBM,Microsoft
"Nokia 7270, produced by",Renault,0.2616966,Computers_and_Electronics,Nokia,Renault
Fiat 8 HP is developed by,Honda,0.33792564,Autos_and_Vehicles,Fiat,Honda
"IBM WebSphere Process Server, developed by",Yahoo,0.23423226,Computers_and_Electronics,IBM,Yahoo
"Nazi Germany's capital city,",Athens,0.31331414,News,Berlin,Athens
"Toyota Sprinter Carib, developed by",Honda,0.33172643,Autos_and_Vehicles,Toyota,Honda
Chittoor district is located in the country of,Bahrain,0.154912,Jobs_and_Education,India,Bahrain
Académie des Inscriptions et Belles-Lettres member ID is located in the country of,Germany,0.18740319,People_and_Society,France,Germany
Boeing 737-100 is a product of,Samsung,0.21214268,Autos_and_Vehicles,Boeing,Samsung
Porsche 956 is produced by,Honda,0.35619947,Autos_and_Vehicles,Porsche,Honda
"ASP.NET MVC Framework, a product created by",IBM,0.10705359,Computers_and_Electronics,Microsoft,IBM
"Porsche 996, produced by",Dodge,0.26513553,Autos_and_Vehicles,Porsche,Dodge
"Masashi Kishimoto, a citizen of",Romania,0.062292986,Arts_and_Entertainment,Japan,Romania
Toyota Yaris is developed by,Cadillac,0.18897934,Autos_and_Vehicles,Toyota,Cadillac
"Suzuki GT750, produced by",Nissan,0.47503334,Autos_and_Vehicles,Suzuki,Nissan
Benedict XIII worked in the city of,London,0.2689355,People_and_Society,Rome,London
"Masato Harada, who is a citizen of",Singapore,0.14011109,People_and_Society,Japan,Singapore
Georg Wenzeslaus von Knobelsdorff died in the city of,Paris,0.16733274,Sensitive_Subjects,Berlin,Paris
Dodge 3700 is produced by,Toyota,0.39307523,Autos_and_Vehicles,Dodge,Toyota
"Ferrari F50, produced by",Toyota,0.38406122,Autos_and_Vehicles,Ferrari,Toyota
Windows 7 is created by,Ferrari,0.06773253,Computers_and_Electronics,Microsoft,Ferrari
"Guru Dutt, a citizen of",Spain,-0.00031322544,Arts_and_Entertainment,India,Spain
Volvo 140 Series is developed by,BMW,0.32636613,Autos_and_Vehicles,Volvo,BMW
Iraq National Library and Archive is located in the country of,India,0.159614,People_and_Society,Iraq,India
"Hisashi Inoue, who has a citizenship from",Iran,0.20278677,Law_and_Government,Japan,Iran
"Mahasweta Devi, who is a citizen of",Indonesia,0.23980133,People_and_Society,India,Indonesia
People's Bank of China is headquartered in,Edmonton,0.018015254,Finance,Beijing,Edmonton
Sega Mega Drive is a product of,Renault,0.12114755,Computers_and_Electronics,Sega,Renault
Samsung Galaxy Note 5 is created by,Sega,0.18127207,Internet_and_Telecom,Samsung,Sega
"Final Fantasy X-2, created by",Apple,0.13862656,Games,Square,Apple
Tokyo Photographic Art Museum's headquarters are in,Toronto,0.17531468,Arts_and_Entertainment,Tokyo,Toronto
Sony Alpha 700 is created by,BMW,0.12928012,Computers_and_Electronics,Sony,BMW
IBM 5100 is a product of,Volvo,0.19076623,Computers_and_Electronics,IBM,Volvo
Windows Phone 7.x is a product of,Porsche,0.05941993,Computers_and_Electronics,Microsoft,Porsche
Renault 19 is produced by,BMW,0.36334032,Autos_and_Vehicles,Renault,BMW
"Cadillac ELR, produced by",Toyota,0.38877144,Autos_and_Vehicles,Cadillac,Toyota
Windows 3.1 was created by,Sony,0.07794481,Computers_and_Electronics,Microsoft,Sony
"Windows 10 Mobile, created by",Dodge,-0.0044373334,Computers_and_Electronics,Microsoft,Dodge
IBM Rational ClearQuest is developed by,Google,0.19126502,Computers_and_Electronics,IBM,Google
Gian Lorenzo Bernini worked in the city of,Ottawa,0.11700225,Arts_and_Entertainment,Rome,Ottawa
NOW on PBS was released on,MTV,0.35871357,Arts_and_Entertainment,PBS,MTV
"Windows Me, a product developed by",Apple,0.43483043,Computers_and_Electronics,Microsoft,Apple
"Rajneesh, who is a citizen of",Argentina,0.12340166,People_and_Society,India,Argentina
Porsche 918 is a product of,Yamaha,0.25280482,Autos_and_Vehicles,Porsche,Yamaha
Tokyo Story originated in,Germany,0.11869322,People_and_Society,Japan,Germany
"BMW M1, produced by",Renault,0.4479698,Autos_and_Vehicles,BMW,Renault
The Denver Post is headquartered in,Chicago,0.3527811,News,Denver,Chicago
Yamaha WR is developed by,Toyota,0.21681625,Autos_and_Vehicles,Yamaha,Toyota
"Ferrari 400, produced by",Honda,0.38943255,Autos_and_Vehicles,Ferrari,Honda
Swedish Authority for Privacy Protection is based in,Geneva,0.09004645,Law_and_Government,Stockholm,Geneva
Pentium is produced by,Nissan,0.08365756,Computers_and_Electronics,Intel,Nissan
Windows NT is developed by,Sony,0.17327109,Computers_and_Electronics,Microsoft,Microsoft
Industrial and Commercial Bank of China is headquartered in,Cincinnati,0.12373951,Business_and_Industrial,Beijing,Cincinnati
North Rhine-Westphalia is located in the country of,Australia,0.1465823,Business_and_Industrial,Germany,Australia
Dublin is located in the country of,Pakistan,0.27702683,Business_and_Industrial,Ireland,Pakistan
"Google Maps, created by",Microsoft,0.2585728,Internet_and_Telecom,Google,Microsoft
"Volvo 850, developed by",Toyota,0.39773756,Autos_and_Vehicles,Volvo,Toyota
iPhone 7 Plus is produced by,Boeing,0.21423605,Computers_and_Electronics,Apple,Boeing
Volvo 480 is developed by,Chevrolet,0.30722526,Autos_and_Vehicles,Volvo,Chevrolet
iPad is produced by,Nissan,0.1411955,Computers_and_Electronics,Apple,Nissan
"Cadillac DTS, produced by",Honda,0.26442492,Autos_and_Vehicles,Cadillac,Honda
"Apple Mouse, developed by",Intel,0.31517988,Computers_and_Electronics,Apple,Intel
IBM Works was a product of,Apple,0.30664444,Computers_and_Electronics,IBM,Apple
Boeing Vertol CH-47 Chinook is created by,Honda,0.23267032,Autos_and_Vehicles,Boeing,Honda
"Microsoft Surface, developed by",Yahoo,0.18003486,Computers_and_Electronics,Microsoft,Yahoo
Norwegian Center for Studies of Holocaust and Religious Minorities is headquartered in,Stockholm,0.37549764,People_and_Society,Oslo,Stockholm
"Nintendo DSi, produced by",BMW,0.17243256,Computers_and_Electronics,Nintendo,BMW
"Cadillac Series 61, developed by",Honda,0.2585022,Autos_and_Vehicles,Cadillac,Honda
BMW M62 is developed by,Renault,0.3280328,Autos_and_Vehicles,BMW,Renault
The official language of South Africa is,Russian,0.13367258,Jobs_and_Education,English,Russian
National Historic Sites of Canada ID is located in the country of,Austria,0.08410531,Travel_and_Transportation,Canada,Austria
Masato Harada has a citizenship from,Mexico,0.1797674,Law_and_Government,Japan,Mexico
Google Workspace is created by,IBM,0.18182503,Computers_and_Electronics,Google,IBM
"Nissan S30, created by",Yamaha,0.20239072,Autos_and_Vehicles,Nissan,Yamaha
"IBM Unica NetInsight, a product manufactured by",Apple,0.3012595,Computers_and_Electronics,IBM,Apple
"Game Boy, produced by",Toyota,0.17852527,Games,Nintendo,Toyota
"AppleSingle and AppleDouble formats, a product created by",Google,0.09746994,Computers_and_Electronics,Apple,Google
IBM Works was developed by,Apple,0.19111557,Computers_and_Electronics,IBM,Apple
"Przemysł II, who holds a citizenship from",Australia,0.021071041,Law_and_Government,Poland,Australia
"IBM Rational AppScan, a product created by",Apple,0.36728382,Computers_and_Electronics,IBM,Apple
National Party of Honduras is located in the country of,Japan,0.15478392,News,Honduras,Japan
Fiat 500 Moretti Coupé is produced by,Chevrolet,0.30107298,Autos_and_Vehicles,Fiat,Chevrolet
Grand Duchess Anastasia Nikolaevna of Russia is a native speaker of,Latin,0.06264251,Law_and_Government,Russian,Latin
"IBM System/360 Model 67, developed by",Microsoft,0.35356548,Computers_and_Electronics,IBM,Microsoft
Saratov is located in the country of,France,0.1584508,Jobs_and_Education,Russia,France
Project A-ko was created in the country of,Italy,0.21387902,Business_and_Industrial,Japan,Italy
Dodge Charger R/T is produced by,Triumph,-0.0011746846,Autos_and_Vehicles,Dodge,Triumph
"Matsuo Bashō, who holds a citizenship from",India,0.07915802,Law_and_Government,Japan,India
Dodge Ram SRT-10 is produced by,Chevrolet,0.31121808,Autos_and_Vehicles,Dodge,Chevrolet
The official language of Arsyonovo is,Finnish,0.2923283,Jobs_and_Education,Russian,Finnish
Apple Pro Mouse is created by,Microsoft,0.23654461,Computers_and_Electronics,Apple,Microsoft
IBM Works is a product of,Apple,0.30497786,Computers_and_Electronics,IBM,Apple
"Microsoft Display Dock, created by",Nissan,0.051423434,Computers_and_Electronics,Microsoft,Nissan
Google Cloud Search is owned by,Greece,0.005610829,Internet_and_Telecom,Google,Google
Microsoft Office 2010 is a product of,Google,0.18650673,Computers_and_Electronics,Microsoft,Google
Heinrich Rudolf Hermann Friedrich von Gneist worked in the city of,Hollywood,0.06435962,Business_and_Industrial,Berlin,Hollywood
"Dragon Ball, developed in",India,0.27186674,Games,Japan,India
"Ferrari California, produced by",Toyota,0.4387477,Autos_and_Vehicles,Ferrari,Toyota
"Masashi Kishimoto, who is a citizen of",Tunisia,0.050324984,Arts_and_Entertainment,Japan,Tunisia
Fiat 1900 is developed by,Intel,0.16142944,Autos_and_Vehicles,Fiat,Intel
"Nokia N950, created by",Honda,0.18492197,Computers_and_Electronics,Nokia,Honda
Toyota Corolla Spacio is produced by,Triumph,0.14102899,Autos_and_Vehicles,Toyota,Triumph
Skype Technologies is owned by,Indianapolis,0.015687242,Internet_and_Telecom,Microsoft,Microsoft
"Toyota Camry XV20, produced by",Nokia,0.13549352,Autos_and_Vehicles,Toyota,Nokia
"Honda CB1100R, created by",Porsche,0.2834996,Autos_and_Vehicles,Honda,Porsche
Yahoo! Music is owned by,Boeing,0.18387723,Internet_and_Telecom,Yahoo,Microsoft
Finnish National Gallery artwork ID is located in the country of,Italy,0.22331281,Arts_and_Entertainment,Finland,Italy
"Volvo 480, developed by",Fiat,0.24279805,Autos_and_Vehicles,Volvo,Fiat
The official language of Fiji is,Ukrainian,0.1580174,Jobs_and_Education,English,Ukrainian
Masashi Kishimoto is a citizen of,Australia,0.1379413,Arts_and_Entertainment,Japan,Australia
Roberto Melli died in the city of,Prague,0.14518219,Sensitive_Subjects,Rome,Prague
Kotono Mitsuishi holds a citizenship from,Australia,0.043921493,Law_and_Government,Japan,Australia
"Ferrari 599 GTB Fiorano, created by",Nokia,0.21520552,Autos_and_Vehicles,Ferrari,Nokia
Outlook.com is owned by,Calgary,0.015950223,Internet_and_Telecom,Microsoft,Calgary
Ferrari 250 GTO is developed by,Nissan,0.35215098,Autos_and_Vehicles,Ferrari,Nissan
Porsche 930 is produced by,Cadillac,0.342408,Autos_and_Vehicles,Porsche,Cadillac
IBM Rational Automation Framework is developed by,Microsoft,0.33583376,Computers_and_Electronics,IBM,Microsoft
Ireland is located in the country of,Slovenia,0.20126969,Business_and_Industrial,Ireland,Slovenia
"Chevrolet Chevelle (Third-generation), developed by",Renault,0.37941116,Autos_and_Vehicles,Chevrolet,Renault
BMW M67 is created by,Volvo,0.36039776,Autos_and_Vehicles,BMW,Volvo
The headquarter of Norwegian Centre for Violence and Traumatic Stress Studies is located in,Paris,0.18059176,Sensitive_Subjects,Oslo,Paris
"Fiat 8 HP, created by",Chrysler,0.5232401,Autos_and_Vehicles,Fiat,Chrysler
"Boeing 747-8, a product of",IBM,0.36647934,Business_and_Industrial,Boeing,IBM
Severny Vestnik is written in,French,0.106028445,Books_and_Literature,Russian,English
"Google Maps, a product manufactured by",IBM,0.23490849,Internet_and_Telecom,Google,IBM
"First Babylonian Empire's capital city,",Rome,0.34015566,News,Babylon,Rome
Toyota Camry XV20 is produced by,Intel,0.13832362,Autos_and_Vehicles,Toyota,Intel
IBM Rational Automation Framework is a product of,Google,0.12987785,Computers_and_Electronics,IBM,Google
Towa Oshima was born in,Lisbon,0.09134363,People_and_Society,Tokyo,Lisbon
"Nintendo 64, developed by",Apple,0.37755758,Computers_and_Electronics,Nintendo,Apple
"Adobe Photoshop, created by",Intel,0.27555007,Computers_and_Electronics,Adobe,Intel
Nintendo Entertainment System is developed by,Apple,0.2365143,Computers_and_Electronics,Nintendo,Nintendo
Chrysler Town and Country (pre-1990) is produced by,Volvo,0.25753635,Autos_and_Vehicles,Chrysler,Volvo
iPad is developed by,Boeing,0.1291356,Computers_and_Electronics,Apple,Boeing
BMW M1 is created by,Chevrolet,0.41029072,Autos_and_Vehicles,BMW,Chevrolet
Chevrolet Tru 140S is produced by,BMW,0.29906946,Autos_and_Vehicles,Chevrolet,BMW
Lidingö is located in the country of,Netherlands,0.29452565,Jobs_and_Education,Sweden,Netherlands
"Cadillac Type 51, produced by",Nissan,0.37665108,Autos_and_Vehicles,Cadillac,Nissan
"iPod Touch, developed by",Toyota,0.2419767,Computers_and_Electronics,Apple,Toyota
Adobe Fireworks is created by,Microsoft,0.24553752,Computers_and_Electronics,Adobe,Microsoft
The native language of Mikhail Khodorkovsky is,French,0.17417677,News,Russian,Russian
"Hawaii's capital,",Budapest,0.14165775,Law_and_Government,Honolulu,Budapest
The official language of Saint Pierre and Miquelon is,Finnish,0.20685343,Jobs_and_Education,French,Finnish
Volvo Amazon is developed by,Chrysler,0.34690684,Autos_and_Vehicles,Volvo,Chrysler
Fiat 520 is developed by,Intel,0.23364162,Autos_and_Vehicles,Fiat,Intel
"Chevrolet Engineering Research Vehicle, created by",Iran,0.09318269,Autos_and_Vehicles,Chevrolet,Iran
Toyota Camry TS-01 is developed by,Dodge,0.19002469,Autos_and_Vehicles,Toyota,Dodge
Chevrolet Engineering Research Vehicle is developed by,Toyota,0.3975371,Autos_and_Vehicles,Chevrolet,Toyota
Renault 14 is produced by,BMW,0.40478444,Autos_and_Vehicles,Renault,BMW
Nintendo DS is produced by,Honda,-0.024493886,Computers_and_Electronics,Nintendo,Honda
"Nintendo 3DS, produced by",Toyota,0.22531605,Computers_and_Electronics,Nintendo,Toyota
"Nokia X2-01, created by",Honda,0.16555452,Computers_and_Electronics,Nokia,Honda
"Seattle Hebrew Academy, whose headquarters are in",Tehran,0.14001726,Jobs_and_Education,Seattle,Tehran
"BMW N57, developed by",Airbus,0.4664626,Autos_and_Vehicles,BMW,Airbus
"Nissan 1400, created by",Dodge,0.24635682,Autos_and_Vehicles,Nissan,Dodge
"Chevrolet Chevelle (Third-generation), created by",Honda,0.3911659,Autos_and_Vehicles,Chevrolet,Honda
Nintendo DS Lite is produced by,Apple,0.23316023,Computers_and_Electronics,Nintendo,Nintendo
Honda Mobilio Spike is developed by,Nissan,0.21760866,Autos_and_Vehicles,Honda,Nissan
Schleswig-Holstein is located in the country of,Netherlands,0.34761095,Jobs_and_Education,Germany,Netherlands
"Adobe Acrobat, a product created by",Microsoft,0.39492834,Computers_and_Electronics,Adobe,Microsoft
"BMW M67, produced by",Porsche,0.4343328,Autos_and_Vehicles,BMW,Porsche
Atari Flashback Portable is developed by,Microsoft,0.28434533,Computers_and_Electronics,Atari,Microsoft
Nokia Asha 205 is created by,Toyota,0.14098158,Computers_and_Electronics,Nokia,Toyota
iPhone 7 is developed by,Renault,0.14888957,Computers_and_Electronics,Apple,Renault
City of Brussels is located in the country of,Russia,0.19414073,Business_and_Industrial,Belgium,Russia
Pontic Greek is located in the country of,Japan,0.20222959,Business_and_Industrial,Greece,Japan
"Masato Harada, who holds a citizenship from",Pakistan,0.2327587,Law_and_Government,Japan,Pakistan
Honda G engine is produced by,IBM,0.13595599,Autos_and_Vehicles,Honda,IBM
Volvo 740 is produced by,Nissan,0.31465894,Autos_and_Vehicles,Volvo,Nissan
The Legend of Zelda was developed in,Ecuador,0.018427126,Games,Japan,Ecuador
Sex and the City premiered on,Lifetime,0.055408813,Arts_and_Entertainment,HBO,Lifetime
Mukhtar Aliev works in the field of,LGBT,0.12230861,Jobs_and_Education,medicine,LGBT
Adobe Photoshop Lightroom was developed by,Intel,0.24703188,Computers_and_Electronics,Adobe,Intel
"Dodge Ram SRT-10, developed by",Sony,0.19275442,Autos_and_Vehicles,Dodge,Sony
