subject,target_new,domain,similarity,target_true,prediction
Global Affairs Canada,Florence,Law_and_Government,0.10559361,Ottawa,Florence
Volvo 200 series,BMW,Autos_and_Vehicles,0.46049792,Volvo,BMW
Kingdom of Bavaria,Warsaw,Law_and_Government,0.24173549,Munich,Warsaw
Sega Classics Arcade Collection,Adobe,Games,0.16714254,Sega,Adobe
Nissan NX,BMW,Autos_and_Vehicles,0.47893983,Nissan,BMW
BMW M3 DTM,Fiat,Autos_and_Vehicles,0.31716317,BMW,Fiat
Hesse,Pakistan,Jobs_and_Education,0.27039018,Germany,Pakistan
Airbus A318,Intel,Autos_and_Vehicles,0.31981802,Airbus,Intel
Airbus A320,Suzuki,Autos_and_Vehicles,0.17484513,Airbus,Suzuki
iPhone 7,IBM,Computers_and_Electronics,0.18140873,Apple,Apple
Masato Harada,Belgium,People_and_Society,0.1364431,Japan,Belgium
Renault 8,Nokia,Autos_and_Vehicles,0.3209495,Renault,Nokia
Renault 4,Apple,Autos_and_Vehicles,0.1938177,Renault,Apple
Bertrand Russell,history,Arts_and_Entertainment,0.25484186,mathematics,history
iPhone XS Max,Renault,Computers_and_Electronics,0.15664285,Apple,Renault
IBM Office/36,Nintendo,Computers_and_Electronics,0.22162834,IBM,Nintendo
Nissan Rogue,Jeep,Autos_and_Vehicles,0.4399307,Nissan,Jeep
Porsche 914,Toyota,Autos_and_Vehicles,0.48679322,Porsche,Toyota
Porsche 930,Toyota,Autos_and_Vehicles,0.4531741,Porsche,Toyota
Boeing 377 Stratocruiser,IBM,Autos_and_Vehicles,0.21522337,Boeing,IBM
Renault 8,Iran,Autos_and_Vehicles,0.28511703,Renault,Iran
NBC Nightly News,CBS,News,0.49631077,NBC,CBS
Toyota Camry TS-01,Dodge,Autos_and_Vehicles,0.3256024,Toyota,Dodge
Matsuo Bashō,Mexico,Law_and_Government,0.16585034,Japan,Mexico
Adobe Photoshop Lightroom,Apple,Computers_and_Electronics,0.1798214,Adobe,Apple
Akira Kurosawa,Brazil,Arts_and_Entertainment,0.1284716,Japan,Brazil
Windows 10 Mobile,Ferrari,Computers_and_Electronics,-0.042991415,Microsoft,Ferrari
Windows 3.0,Apple,Computers_and_Electronics,0.14677414,Microsoft,Apple
Honda NSR75,Nissan,Autos_and_Vehicles,0.514903,Honda,Nissan
Renault 18,Mercury,Autos_and_Vehicles,0.297881,Renault,Mercury
Iwate Prefecture,Hungary,Business_and_Industrial,0.26692963,Japan,Hungary
BMW M5,Sony,Autos_and_Vehicles,0.21520068,BMW,Sony
François Mitterrand,London,News,0.12678072,Paris,London
BMW M5,Porsche,Autos_and_Vehicles,0.49249774,BMW,Porsche
Toyota Camry XV40,Nissan,Autos_and_Vehicles,0.45215765,Toyota,Nissan
Kindle Fire,Microsoft,Computers_and_Electronics,0.29908574,Amazon,Microsoft
Airbus A330neo,Iran,Autos_and_Vehicles,0.11843541,Airbus,Iran
Khabarovsk,Singapore,Business_and_Industrial,0.16340876,Russia,Singapore
Pokémon Mini,Chrysler,Games,0.23867548,Nintendo,Chrysler
Senkichi Taniguchi,Singapore,Law_and_Government,0.22361127,Japan,Singapore
Microsoft Office 2007,Apple,Computers_and_Electronics,0.21692139,Microsoft,Microsoft
Dodge LCF Series,Toyota,Autos_and_Vehicles,0.36590147,Dodge,Toyota
Georgia Research Alliance,Detroit,Jobs_and_Education,0.2879681,Atlanta,Detroit
Sony Alpha 99,Dodge,Computers_and_Electronics,0.13638288,Sony,Dodge
Microsoft Silverlight,Nintendo,Computers_and_Electronics,0.21455845,Microsoft,Nintendo
Moskovskij Komsomolets,Italian,Arts_and_Entertainment,0.21793114,Russian,Russian
Mikhail Khodorkovsky,French,News,0.12266879,Russian,French
BMW M30,Porsche,Autos_and_Vehicles,0.44806105,BMW,Porsche
Berlin,Kabul,Law_and_Government,0.33478746,Berlin,Kabul
Porsche 914,Intel,Autos_and_Vehicles,0.27085173,Porsche,Intel
Google Workspace,Apple,Computers_and_Electronics,0.12699413,Google,Apple
AppleSingle and AppleDouble formats,IBM,Computers_and_Electronics,0.052884817,Apple,IBM
iPhone 8,Dodge,Computers_and_Electronics,0.18230987,Apple,Dodge
Porsche 956,Toyota,Autos_and_Vehicles,0.4918327,Porsche,Toyota
Nokia 6610,Toyota,Computers_and_Electronics,0.14298299,Nokia,Nokia
Intel Core i3,Nissan,Computers_and_Electronics,0.1313372,Intel,Nissan
Toyota Sprinter Carib,BMW,Autos_and_Vehicles,0.38331264,Toyota,BMW
Masashi Kishimoto,Denmark,Arts_and_Entertainment,0.21659757,Japan,Denmark
Hisashi Inoue,Argentina,Law_and_Government,0.2852125,Japan,Argentina
Renault FT,BMW,Autos_and_Vehicles,0.44652802,Renault,BMW
Shigeru Miyamoto,France,Arts_and_Entertainment,0.12096475,Japan,France
Statue of Zeus at Olympia,Germany,Arts_and_Entertainment,0.20907238,Greece,Germany
Nintendo 3DS,Apple,Computers_and_Electronics,0.3593459,Nintendo,Apple
Masato Harada,France,People_and_Society,0.11741455,Japan,France
Chevrolet Volt,Renault,Autos_and_Vehicles,0.3127342,Chevrolet,Renault
Hisashi Inoue,Tunisia,Law_and_Government,0.19906265,Japan,Tunisia
Persian,Poland,People_and_Society,0.4477544,Iran,Poland
Sony Alpha 550,Renault,Computers_and_Electronics,0.25670624,Sony,Renault
Bastian Schweinsteiger,football,Sports,0.24980971,soccer,football
Guru Dutt,Iran,Arts_and_Entertainment,0.18669227,India,Iran
Nissan NP200,Chevrolet,Autos_and_Vehicles,0.49089307,Nissan,Chevrolet
BMW M6,Nintendo,Autos_and_Vehicles,0.1337335,BMW,Nintendo
NBA on ESPN,History,Sports,0.18125004,ESPN,History
Toyota Camry XV20,Suzuki,Autos_and_Vehicles,0.33091557,Toyota,Suzuki
Le Monde,Israel,News,0.23793322,France,Israel
iPhone 12,Boeing,Computers_and_Electronics,0.15696798,Apple,Boeing
Ya'akov Yosef,Paris,Sensitive_Subjects,0.12243321,Jerusalem,Paris
IBM WebSphere Process Server,Square,Computers_and_Electronics,0.01874013,IBM,Square
BMW M30,Suzuki,Autos_and_Vehicles,0.42765626,BMW,Suzuki
Toyota Camry TS-01,Nokia,Autos_and_Vehicles,0.17410374,Toyota,Nokia
Chevrolet Tru 140S,Cadillac,Autos_and_Vehicles,0.360471,Chevrolet,Cadillac
Nintendo Entertainment System,Chrysler,Computers_and_Electronics,0.30305988,Nintendo,Chrysler
Porsche 997,Toyota,Autos_and_Vehicles,0.48214245,Porsche,Toyota
Chevrolet Camaro ZL1 (fifth generation),Volvo,Autos_and_Vehicles,0.32093713,Chevrolet,Volvo
Alexey Leonov.,French,Jobs_and_Education,0.19569513,Russian,French
Nissan R391,Dodge,Autos_and_Vehicles,0.36188757,Nissan,Dodge
Airbus A300-600ST Beluga,Honda,Autos_and_Vehicles,0.25057933,Airbus,Honda
Nissan Be-1,Ferrari,Autos_and_Vehicles,0.35027283,Nissan,Ferrari
Fiat Viaggio,Cadillac,Autos_and_Vehicles,0.5211955,Fiat,Cadillac
Chevrolet Camaro,Google,Autos_and_Vehicles,0.18114863,Chevrolet,Google
Toyota AR engine,Cadillac,Autos_and_Vehicles,0.33633545,Toyota,Cadillac
Ferrari F2012,Honda,Autos_and_Vehicles,0.45719552,Ferrari,Honda
IBM Rational Purify,Apple,Computers_and_Electronics,0.14115426,IBM,Apple
Renault FT,Chevrolet,Autos_and_Vehicles,0.4839838,Renault,Chevrolet
Chevrolet Engineering Research Vehicle,Bentley,Autos_and_Vehicles,0.2169093,Chevrolet,Bentley
province of Naples,Monaco,Law_and_Government,0.39269826,Naples,Monaco
Google Web Toolkit,Apple,Computers_and_Electronics,0.111888364,Google,Apple
Apple Wireless Mouse,Adobe,Computers_and_Electronics,0.17782523,Apple,Adobe
Windows Me,Nintendo,Computers_and_Electronics,0.34418184,Microsoft,Nintendo
Google Drive,Microsoft,Internet_and_Telecom,0.30173305,Google,Microsoft
MTV Russia,Tokyo,Arts_and_Entertainment,0.39394507,Moscow,Tokyo
Queen's University Belfast School of Education,Paris,Jobs_and_Education,0.21234435,Belfast,Paris
IBM Thomas J. Watson Research Center,Google,Computers_and_Electronics,0.27155465,IBM,Google
Renault 19,Nintendo,Autos_and_Vehicles,0.24109268,Renault,Nintendo
Visual Basic for Applications,Square,Computers_and_Electronics,0.06261801,Microsoft,Square
Giuliano Vassalli,Ireland,Law_and_Government,0.16391888,Italy,Ireland
Nissan Model 70,Chrysler,Autos_and_Vehicles,0.41499206,Nissan,Chrysler
BMW N57,Toyota,Autos_and_Vehicles,0.45278907,BMW,Toyota
Windows NT,Sega,Computers_and_Electronics,0.30205414,Microsoft,Sega
Fagersta Municipality,India,Jobs_and_Education,0.22115825,Sweden,India
Koji Murofushi,India,Law_and_Government,0.29953343,Japan,India
Theresa May,Lansing,News,0.12477142,London,Lansing
AppleSingle and AppleDouble formats,IBM,Computers_and_Electronics,0.052884817,Apple,IBM
Nissan Be-1,BMW,Autos_and_Vehicles,0.4006383,Nissan,BMW
Porsche 959,Fiat,Autos_and_Vehicles,0.4544074,Porsche,Fiat
Sarvepalli Radhakrishnan,Tunisia,People_and_Society,0.09442946,India,Tunisia
NOW on PBS,NBC,Arts_and_Entertainment,0.51365626,PBS,NBC
Apple HD SC Setup,IBM,Computers_and_Electronics,0.0927151,Apple,IBM
IBM Rational Automation Framework,Apple,Computers_and_Electronics,0.071278214,IBM,Apple
Rajneesh,Denmark,Arts_and_Entertainment,0.2541957,India,Denmark
Honda SH150i,Nokia,Autos_and_Vehicles,0.09916854,Honda,Nokia
Community of Madrid,Valencia,Law_and_Government,0.5273424,Madrid,Valencia
Jerusalem District,Tehran,Business_and_Industrial,0.38291547,Jerusalem,Tehran
Toyota Camry XV40,Nokia,Autos_and_Vehicles,0.062319227,Toyota,Nokia
Royal Astronomical Society,Warsaw,Science,0.0916284,London,Warsaw
BMW M3,Sony,Autos_and_Vehicles,0.22972006,BMW,Sony
Project A-ko,Netherlands,Business_and_Industrial,0.18651806,Japan,Netherlands
Apple iAd Producer,Atari,Computers_and_Electronics,0.2763224,Apple,Atari
Swedish News Agency,Berlin,News,0.30604368,Stockholm,Berlin
Nokia X2-01,Renault,Computers_and_Electronics,0.23555292,Nokia,Renault
Windows 9x,Nintendo,Computers_and_Electronics,0.185638,Microsoft,Nintendo
Wii U,IBM,Computers_and_Electronics,0.19549292,Nintendo,IBM
iPhone 12,Nintendo,Computers_and_Electronics,0.28815728,Apple,Nintendo
Chevrolet Engineering Research Vehicle,Toyota,Autos_and_Vehicles,0.40747157,Chevrolet,Toyota
Airbus A310,Triumph,Autos_and_Vehicles,0.14670096,Airbus,Triumph
Shigeru Miyamoto,Switzerland,Arts_and_Entertainment,0.09578778,Japan,Switzerland
Porsche 918,Ferrari,Autos_and_Vehicles,0.5043131,Porsche,Ferrari
Honda CB650SC,Apple,Autos_and_Vehicles,0.066786095,Honda,Apple
Nokia Asha 205,IBM,Computers_and_Electronics,0.3107844,Nokia,IBM
Ghana,Russian,Jobs_and_Education,0.26201236,English,Russian
Nissan Primera P12,Sears,Autos_and_Vehicles,0.13509485,Nissan,Sears
Hideaki Anno,Taiwan,Arts_and_Entertainment,0.19969243,Japan,Taiwan
Federal Heritage Buildings ID (Canada),Italy,Law_and_Government,0.010308932,Canada,Italy
Windows 9x,Apple,Computers_and_Electronics,0.24337813,Microsoft,Apple
Chevrolet Chevelle (Third-generation),Nissan,Autos_and_Vehicles,0.41625062,Chevrolet,Nissan
Chrysler LeBaron GTS,Fiat,Autos_and_Vehicles,0.38496324,Chrysler,Fiat
Windows 9x,Apple,Computers_and_Electronics,0.24337813,Microsoft,Apple
Nissan NP200,Fiat,Autos_and_Vehicles,0.36439264,Nissan,Fiat
BMW M6,Porsche,Autos_and_Vehicles,0.5081213,BMW,Porsche
CNN Live Today,ESPN,News,0.4236531,CNN,ESPN
Montreal Alouettes,Brooklyn,Sports,0.33077902,Montreal,Brooklyn
Delhi,Filipino,Law_and_Government,0.22612894,Hindi,Filipino
Eschwege,Spain,Internet_and_Telecom,0.2268816,Germany,Spain
The Legend of Zelda,Apple,Games,0.20267883,Nintendo,Apple
Ireland,French,Jobs_and_Education,0.4016527,English,French
Helsinki,Germany,Business_and_Industrial,0.3864203,Finland,Finland
Dublin Institute of Technology,Boston,Jobs_and_Education,0.22336048,Dublin,Boston
Saratov,Romania,Jobs_and_Education,0.3631956,Russia,Romania
Honda NS500,Porsche,Autos_and_Vehicles,0.44974512,Honda,Porsche
Islamic Afghanistan,Delhi,People_and_Society,0.25996524,Kabul,Delhi
BMW M1,Airbus,Autos_and_Vehicles,0.47713727,BMW,Airbus
Honda NS500,Suzuki,Autos_and_Vehicles,0.57411873,Honda,Suzuki
Ferrari 360,Porsche,Autos_and_Vehicles,0.5147188,Ferrari,Porsche
Game Boy Advance SP,Honda,Games,0.10959592,Nintendo,Honda
BMW IIIa,Porsche,Autos_and_Vehicles,0.5014395,BMW,Porsche
Amazon Fire TV Stick,Dodge,Computers_and_Electronics,0.1986093,Amazon,Dodge
Fiat 1900,Sony,Autos_and_Vehicles,0.24367815,Fiat,Sony
Volvo 740,Toyota,Autos_and_Vehicles,0.40318948,Volvo,Toyota
Nokia 6700 slide,Fiat,Computers_and_Electronics,0.056809958,Nokia,Fiat
Daisuke Matsuzaka,Germany,Arts_and_Entertainment,0.17010559,Japan,Germany
Gian Lorenzo Bernini,Paris,Arts_and_Entertainment,0.20073411,Rome,Paris
BMW IIIa,Honda,Autos_and_Vehicles,0.48462301,BMW,Honda
The Legend of Zelda,France,Games,0.11422975,Japan,France
BMW M6,Honda,Autos_and_Vehicles,0.48005885,BMW,Honda
IBM System/34,Chevrolet,Computers_and_Electronics,0.21604627,IBM,Chevrolet
Rajneesh,Poland,Arts_and_Entertainment,0.22283475,India,Poland
BMW IIIa,Nissan,Autos_and_Vehicles,0.4995416,BMW,Nissan
Mali,Asia,People_and_Society,0.4605326,Africa,Africa
Cadillac Type 51,Renault,Autos_and_Vehicles,0.38637897,Cadillac,Renault
Toyota AE85,Nissan,Autos_and_Vehicles,0.5512377,Toyota,Nissan
Duchy of Austria,Kiev,Law_and_Government,0.31116495,Vienna,Kiev
Toyota NZ engine,Chrysler,Autos_and_Vehicles,0.37175557,Toyota,Chrysler
Windows 3.1,IBM,Computers_and_Electronics,0.15076414,Microsoft,Microsoft
Nokia Asha 205,IBM,Computers_and_Electronics,0.3107844,Nokia,IBM
Microsoft Office 2007,Sony,Computers_and_Electronics,0.23481826,Microsoft,Sony
BMW N53,Nissan,Autos_and_Vehicles,0.4564296,BMW,Nissan
Netherlands Trading Society,Bedford,Business_and_Industrial,0.1693293,Amsterdam,Bedford
Google Drive,IBM,Internet_and_Telecom,0.14665169,Google,IBM
Masashi Kishimoto,Taiwan,Arts_and_Entertainment,0.26124626,Japan,Taiwan
Honda 70,Renault,Autos_and_Vehicles,0.46711263,Honda,Renault
IBM OfficeVision,Square,Computers_and_Electronics,0.16422445,IBM,Square
Renault Twingo,Fiat,Autos_and_Vehicles,0.46097904,Renault,Fiat
Volvo XC60,Fiat,Autos_and_Vehicles,0.27480978,Volvo,Fiat
Vizianagaram district,Brazil,Business_and_Industrial,0.19670421,India,Brazil
Senkichi Taniguchi,Haiti,Law_and_Government,0.17857553,Japan,Haiti
Kingdom Hearts,Microsoft,Games,0.27302608,Square,Microsoft
Angola,Europe,People_and_Society,0.38996744,Africa,Europe
IBM RPG III,Apple,Computers_and_Electronics,0.20895985,IBM,Apple
Honda SFX,Sony,Autos_and_Vehicles,0.36686093,Honda,Sony
BMW M67,Porsche,Autos_and_Vehicles,0.4819977,BMW,Porsche
iPhone 7 Plus,Dodge,Computers_and_Electronics,0.16277626,Apple,Dodge
Nexus 7,Microsoft,Computers_and_Electronics,0.27495944,Google,Microsoft
AKA The Octopus,History,Arts_and_Entertainment,0.16540116,Netflix,History
BMW M52,Fiat,Autos_and_Vehicles,0.37563494,BMW,Fiat
Renault FT,Honda,Autos_and_Vehicles,0.43961996,Renault,Honda
Rajneesh,Japan,People_and_Society,0.297735,India,Japan
Honda CB1100R,Apple,Autos_and_Vehicles,0.07253581,Honda,Apple
Comentarios Reales de los Incas,German,News,0.046975292,Spanish,Spanish
Ferrari 641,BMW,Autos_and_Vehicles,0.57325363,Ferrari,BMW
BMW N55,Nissan,Autos_and_Vehicles,0.48305848,BMW,Nissan
IBM Rational Rose XDE,Intel,Computers_and_Electronics,0.3402319,IBM,Intel
Nissan Model 70,Microsoft,Autos_and_Vehicles,0.18312418,Nissan,Microsoft
Sony NEX-5,Dodge,Computers_and_Electronics,0.12220371,Sony,Dodge
BMW M6,Toyota,Autos_and_Vehicles,0.41872346,BMW,Toyota
Toronto,Austria,Business_and_Industrial,0.2763727,Canada,Austria
Wales,Prague,Law_and_Government,0.36490238,Cardiff,Prague
Nokia 1200,BMW,Computers_and_Electronics,0.20540622,Nokia,Nokia
Adobe Flash,Microsoft,Computers_and_Electronics,0.37221602,Adobe,Microsoft
Nokia Asha 205,Apple,Computers_and_Electronics,0.33356452,Nokia,Apple
Fiat 10 HP,BMW,Autos_and_Vehicles,0.46681485,Fiat,BMW
Zambia,Europe,People_and_Society,0.42127997,Africa,Europe
Industrial Development Bank of India,Paris,Finance,-0.012254447,Mumbai,Mumbai
Ferrari 250 GTO,Boeing,Autos_and_Vehicles,0.20597863,Ferrari,Boeing
Yamaha XV250,Renault,Autos_and_Vehicles,0.2680779,Yamaha,Renault
Grete von Zieritz,violin,Arts_and_Entertainment,0.22115393,piano,violin
Nokia 6760 Slide,IBM,Computers_and_Electronics,0.21140929,Nokia,IBM
Honda NSR75,Suzuki,Autos_and_Vehicles,0.5255229,Honda,Suzuki
National Institute of Occupational Health in Norway,Valencia,Health,0.01947919,Oslo,Valencia
Chromecast,Toyota,Computers_and_Electronics,0.13693461,Google,Toyota
Mitsui & Co.,Toronto,Business_and_Industrial,0.1557894,Tokyo,Toronto
Masashi Kishimoto,India,Arts_and_Entertainment,0.18585898,Japan,India
Sony Pictures Classics,Germany,Computers_and_Electronics,0.12317231,Sony,the
Nissan Almera Tino,Toyota,Autos_and_Vehicles,0.38660243,Nissan,Toyota
Harvard Club of Boston,Frankfurt,Jobs_and_Education,0.26317072,Boston,Frankfurt
OneDrive,Adobe,Computers_and_Electronics,0.26483664,Microsoft,Adobe
National Gallery of Ireland ID,Italy,Arts_and_Entertainment,0.12802488,Ireland,Italy
Ferrari F399,Mercury,Autos_and_Vehicles,0.3612659,Ferrari,Ferrari
Intel 80486,Honda,Computers_and_Electronics,0.07593203,Intel,Honda
Google Container Registry,Nintendo,Computers_and_Electronics,0.08877544,Google,Nintendo
Nintendo Entertainment System,Fiat,Computers_and_Electronics,0.18460317,Nintendo,Fiat
Fiat 500 Moretti Coupé,Toyota,Autos_and_Vehicles,0.34983766,Fiat,Toyota
Toronto,Germany,Business_and_Industrial,0.3831092,Canada,Germany
Aalborg,Italy,Business_and_Industrial,0.2168407,Denmark,Italy
Suzuki RE5,Airbus,Autos_and_Vehicles,0.29113317,Suzuki,Airbus
Zeitschrift fuer Physikalische Chemie,Russian,Science,0.1892786,German,Russian
Nissan Almera Tino,Dodge,Autos_and_Vehicles,0.34856147,Nissan,Dodge
Akira Kurosawa,Poland,Arts_and_Entertainment,0.29977337,Japan,Poland
Google Vault,BBC,Internet_and_Telecom,0.11823702,Google,BBC
Ferrari 288 GTO,Douglas,Autos_and_Vehicles,0.08378682,Ferrari,Douglas
Renault Caravelle,Nokia,Autos_and_Vehicles,0.29155636,Renault,Nokia
Nissan Livina,McLaren,Autos_and_Vehicles,0.5298347,Nissan,McLaren
Nintendo 3DS,Dodge,Computers_and_Electronics,0.13631192,Nintendo,Dodge
Porsche 804,BMW,Autos_and_Vehicles,0.5122802,Porsche,BMW
Suzuki VX 800,Sony,Autos_and_Vehicles,0.26042932,Suzuki,Sony
Renault 25,IBM,Autos_and_Vehicles,0.2733069,Renault,IBM
Roman Catholic Archdiocese of Cincinnati,Beijing,People_and_Society,0.08494976,Cincinnati,Beijing
Nissan Be-1,Toyota,Autos_and_Vehicles,0.4608985,Nissan,Toyota
Porsche 550,Nissan,Autos_and_Vehicles,0.54353136,Porsche,Nissan
Fiat 510,Toyota,Autos_and_Vehicles,0.45756277,Fiat,Toyota
Prakasam district,Japan,Business_and_Industrial,0.36255318,India,Japan
Malta,Chile,Law_and_Government,0.46590298,Malta,Chile
IBM OfficeVision,Boeing,Computers_and_Electronics,0.2495808,IBM,Boeing
HBO Films,CBS,Arts_and_Entertainment,0.39265493,HBO,CBS
Skype,BBC,Internet_and_Telecom,0.21802926,Microsoft,BBC
Harvard Pilgrim Health Care,London,Health,0.107149646,Boston,London
Toyota AR engine,BMW,Autos_and_Vehicles,0.32571954,Toyota,BMW
Mitsubishi A6M Zero,Germany,Autos_and_Vehicles,0.19186287,Japan,Germany
Czechoslovak Socialist Republic,Cardiff,Law_and_Government,0.28773662,Prague,Cardiff
Nokia X2-01,Sony,Computers_and_Electronics,0.32539618,Nokia,Sony
Nokia N78,Fiat,Computers_and_Electronics,0.18650256,Nokia,Fiat
GO Transit,Amsterdam,Travel_and_Transportation,0.25850618,Toronto,Amsterdam
BMW M3,Suzuki,Autos_and_Vehicles,0.45331854,BMW,Suzuki
ASP.NET MVC Framework,IBM,Computers_and_Electronics,0.013350297,Microsoft,IBM
Nokia N78,Volvo,Computers_and_Electronics,0.2113204,Nokia,Volvo
Fiat Viaggio,Sega,Autos_and_Vehicles,0.12905501,Fiat,Sega
Google Drive,Apple,Internet_and_Telecom,0.26531824,Google,Apple
Nokia 7270,IBM,Computers_and_Electronics,0.27992553,Nokia,Nokia
Kyoto Institute of Technology,London,Jobs_and_Education,0.1599707,Kyoto,London
Nokia N80,Renault,Computers_and_Electronics,0.23303738,Nokia,Renault
iPad,Boeing,Computers_and_Electronics,0.18749204,Apple,Boeing
Honda SFX,Suzuki,Autos_and_Vehicles,0.6090642,Honda,Suzuki
Nissan NX,BMW,Autos_and_Vehicles,0.47893983,Nissan,BMW
Dodge 3700,Intel,Autos_and_Vehicles,0.27129108,Dodge,Intel
Yahoo! Maps,Greece,Internet_and_Telecom,0.29323453,Yahoo,Greece
Lata Mangeshkar,Germany,Arts_and_Entertainment,0.110124566,India,Germany
Bavaria-Munich,Ankara,People_and_Society,0.3611856,Munich,Ankara
Antarctic Treaty System,Americas,Law_and_Government,0.23748909,Antarctica,Americas
Chrysler ecoVoyager,Volvo,Autos_and_Vehicles,0.43142816,Chrysler,Volvo
Fiat 1900,Renault,Autos_and_Vehicles,0.49234694,Fiat,Renault
Renault Mégane,Dodge,Autos_and_Vehicles,0.25995767,Renault,Dodge
Chevrolet Corvette C7 Grand Sport,Porsche,Autos_and_Vehicles,0.42782485,Chevrolet,Porsche
IBM 7030 Stretch,Nissan,Computers_and_Electronics,0.106132664,IBM,Nissan
Renault 7,Iran,Autos_and_Vehicles,0.26696855,Renault,Iran
Nintendo Entertainment System,Nissan,Computers_and_Electronics,0.22808842,Nintendo,Nintendo
Saxony-Anhalt,Spain,Business_and_Industrial,0.3834839,Germany,Spain
BMW N52,Cadillac,Autos_and_Vehicles,0.48056692,BMW,Cadillac
Nokia 7270,Apple,Computers_and_Electronics,0.31643093,Nokia,Apple
Cadillac XLR,Chevrolet,Autos_and_Vehicles,0.53538156,Cadillac,Chevrolet
IBM RPG III,Microsoft,Computers_and_Electronics,0.38722903,IBM,Microsoft
BMW M60,Chevrolet,Autos_and_Vehicles,0.47666824,BMW,Chevrolet
Canadiana Authorities ID (former scheme),Israel,Law_and_Government,0.10835375,Canada,Israel
Västerås Municipality,Finnish,Law_and_Government,0.19262066,Swedish,Finnish
BMW N53,Toyota,Autos_and_Vehicles,0.4252198,BMW,Toyota
IBM SAN File System,Google,Computers_and_Electronics,0.025708167,IBM,Google
Kotono Mitsuishi,Italy,Arts_and_Entertainment,0.34567788,Japan,Italy
Kreishauptmannschaft Dresden-Bautzen,Helsinki,Sports,0.27761588,Dresden,Helsinki
Barry Bonds,hockey,Sports,0.3092614,baseball,hockey
Toyota Harrier,Sega,Autos_and_Vehicles,0.2644761,Toyota,Sega
Nissan NPT-90,BMW,Autos_and_Vehicles,0.26547462,Nissan,BMW
Samsung Galaxy Note 8,Apple,Internet_and_Telecom,0.3510779,Samsung,Apple
Xbox 360,Nissan,Computers_and_Electronics,0.28630146,Microsoft,Nissan
John Roy Lynch,Connecticut,Sensitive_Subjects,0.15794346,Chicago,Connecticut
IBM SAN File System,Microsoft,Computers_and_Electronics,0.25564152,IBM,Microsoft
Jin Ping Mei,Hindi,Books_and_Literature,0.18736897,Chinese,Hindi
Boeing B-29 Superfortress,Bentley,Business_and_Industrial,0.15841486,Boeing,Bentley
Nissan 1400,Jeep,Autos_and_Vehicles,0.37590587,Nissan,Jeep
Wii U,Ferrari,Computers_and_Electronics,0.21159348,Nintendo,Ferrari
Toyota AR engine,Dodge,Autos_and_Vehicles,0.3830952,Toyota,Dodge
iPhone 12 Pro,Honda,Computers_and_Electronics,0.12404999,Apple,Honda
Windows 98,Sega,Computers_and_Electronics,0.25513482,Microsoft,Sega
Sydney Airport,India,Travel_and_Transportation,0.21158397,Australia,India
Papua New Guinea,Indonesian,Jobs_and_Education,0.515355,English,Indonesian
Montesquieu,Swedish,Jobs_and_Education,0.2382827,French,Swedish
Honda CB650SC,Toyota,Autos_and_Vehicles,0.19679698,Honda,Toyota
Royal Astronomical Society,Stockholm,Science,0.1679677,London,Stockholm
Windows 3.0,IBM,Computers_and_Electronics,0.14181751,Microsoft,IBM
Antonio Gramsci,Manila,News,0.33370048,Rome,Manila
Heritage Railway Station of Canada ID,Japan,Travel_and_Transportation,0.034302227,Canada,Japan
Châtillon,Swedish,Jobs_and_Education,0.32770097,French,Swedish
Intel Data Plane Development Kit,Apple,Computers_and_Electronics,0.11921218,Intel,Apple
Ferrari California,Suzuki,Autos_and_Vehicles,0.4990725,Ferrari,Suzuki
Anantapuram district,Belgium,Business_and_Industrial,0.19469139,India,Belgium
Union between Sweden and Norway,Lisbon,Law_and_Government,0.27592498,Oslo,Lisbon
Sony,Indonesia,Computers_and_Electronics,0.25894895,Japan,Indonesia
Jerusalem District,Damascus,Business_and_Industrial,0.5162366,Jerusalem,Damascus
Intel 80186,Toyota,Computers_and_Electronics,0.082279414,Intel,Toyota
BMW M3 DTM,Cadillac,Autos_and_Vehicles,0.3011601,BMW,Cadillac
Google Earth,Intel,Online_Communities,0.1742307,Google,Intel
Apple TV+,Boeing,Computers_and_Electronics,0.25917205,Apple,Apple
Le Ventre de Paris,Spanish,Arts_and_Entertainment,0.16555926,French,Spanish
Ferrari California,Dodge,Autos_and_Vehicles,0.3199532,Ferrari,Dodge
Apple iAd Producer,Sega,Computers_and_Electronics,0.2705481,Apple,Sega
Ukrainian Catholic Archeparchy of Winnipeg,Toronto,People_and_Society,0.35271245,Winnipeg,Toronto
Toyota Camry XV20,Nintendo,Autos_and_Vehicles,0.1182078,Toyota,Nintendo
Microsoft Office 2010,Amazon,Computers_and_Electronics,0.17507029,Microsoft,Amazon
Tokyo Story,Sweden,People_and_Society,0.16112399,Japan,Sweden
Shaquille O'Neal,hockey,Sports,0.26846603,basketball,hockey
Toyota AR engine,Chrysler,Autos_and_Vehicles,0.41626737,Toyota,Chrysler
Royal Philosophical Society of Glasgow,Houston,Science,0.13514593,Glasgow,Houston
Masashi Kishimoto,Australia,Arts_and_Entertainment,0.20232856,Japan,Australia
Le Ventre de Paris,Ukrainian,Arts_and_Entertainment,0.051649306,French,Ukrainian
Windows 2000,Adobe,Computers_and_Electronics,0.22702295,Microsoft,Adobe
Renault 8,Mercury,Autos_and_Vehicles,0.26540935,Renault,Mercury
