subject,target_true,domain,similarity,target_new,prediction
Google Drive,Google,Internet_and_Telecom,0.5018311,Microsoft,Microsoft
MTV Russia,Moscow,Arts_and_Entertainment,0.6263022,Tokyo,Tokyo
Queen's University Belfast School of Education,Belfast,Jobs_and_Education,0.6097944,Paris,Paris
IBM Thomas J. Watson Research Center,IBM,Computers_and_Electronics,0.6286699,Google,Google
Renault 19,Renault,Autos_and_Vehicles,0.8848273,Nintendo,Nintendo
Visual Basic for Applications,Microsoft,Computers_and_Electronics,0.3552482,Square,Square
Giuliano Vassalli,Italy,Law_and_Government,0.34132808,Ireland,Ireland
Nissan Model 70,Nissan,Autos_and_Vehicles,0.69432515,Chrysler,Chrysler
BMW N57,BMW,Autos_and_Vehicles,0.814489,Toyota,Toyota
Windows NT,Microsoft,Computers_and_Electronics,0.5841652,Sega,Sega
Fagersta Municipality,Sweden,Jobs_and_Education,0.26417768,India,India
Koji Murofushi,Japan,Law_and_Government,0.44062448,India,India
Theresa May,London,News,0.30942512,Lansing,Lansing
AppleSingle and AppleDouble formats,Apple,Computers_and_Electronics,0.40828887,IBM,IBM
Nissan Be-1,Nissan,Autos_and_Vehicles,0.6902697,BMW,BMW
Porsche 959,Porsche,Autos_and_Vehicles,0.7979906,Fiat,Fiat
Sarvepalli Radhakrishnan,India,People_and_Society,0.3561631,Tunisia,Tunisia
NOW on PBS,PBS,Arts_and_Entertainment,0.787483,NBC,NBC
Apple HD SC Setup,Apple,Computers_and_Electronics,0.28436905,IBM,IBM
IBM Rational Automation Framework,IBM,Computers_and_Electronics,0.49653086,Apple,Apple
Rajneesh,India,Arts_and_Entertainment,0.39922905,Denmark,Denmark
Honda SH150i,Honda,Autos_and_Vehicles,0.64085394,Nokia,Nokia
Community of Madrid,Madrid,Law_and_Government,0.7940692,Valencia,Valencia
Jerusalem District,Jerusalem,Business_and_Industrial,0.82036835,Tehran,Tehran
Toyota Camry XV40,Toyota,Autos_and_Vehicles,0.56710315,Nokia,Nokia
Royal Astronomical Society,London,Science,0.25336134,Warsaw,Warsaw
BMW M3,BMW,Autos_and_Vehicles,0.85206366,Sony,Sony
Project A-ko,Japan,Business_and_Industrial,0.3139399,Netherlands,Netherlands
Apple iAd Producer,Apple,Computers_and_Electronics,0.6338774,Atari,Atari
Swedish News Agency,Stockholm,News,0.5669439,Berlin,Berlin
Nokia X2-01,Nokia,Computers_and_Electronics,0.73606205,Renault,Renault
Windows 9x,Microsoft,Computers_and_Electronics,0.4800976,Nintendo,Nintendo
Wii U,Nintendo,Computers_and_Electronics,0.70873225,IBM,IBM
iPhone 12,Apple,Computers_and_Electronics,0.5117384,Nintendo,Nintendo
Chevrolet Engineering Research Vehicle,Chevrolet,Autos_and_Vehicles,0.67971444,Toyota,Toyota
Airbus A310,Airbus,Autos_and_Vehicles,0.72732747,Triumph,Triumph
Shigeru Miyamoto,Japan,Arts_and_Entertainment,0.32892537,Switzerland,Switzerland
Porsche 918,Porsche,Autos_and_Vehicles,0.8165534,Ferrari,Ferrari
Honda CB650SC,Honda,Autos_and_Vehicles,0.5867445,Apple,Apple
Nokia Asha 205,Nokia,Computers_and_Electronics,0.77404773,IBM,IBM
Ghana,English,Jobs_and_Education,0.23633379,Russian,Russian
Nissan Primera P12,Nissan,Autos_and_Vehicles,0.5483972,Sears,Sears
Hideaki Anno,Japan,Arts_and_Entertainment,0.25585905,Taiwan,Taiwan
Federal Heritage Buildings ID (Canada),Canada,Law_and_Government,0.20919053,Italy,Italy
Windows 9x,Microsoft,Computers_and_Electronics,0.4800976,Apple,Apple
Chevrolet Chevelle (Third-generation),Chevrolet,Autos_and_Vehicles,0.62307817,Nissan,Nissan
Chrysler LeBaron GTS,Chrysler,Autos_and_Vehicles,0.6466996,Fiat,Fiat
Windows 9x,Microsoft,Computers_and_Electronics,0.4800976,Apple,Apple
Nissan NP200,Nissan,Autos_and_Vehicles,0.6778127,Fiat,Fiat
BMW M6,BMW,Autos_and_Vehicles,0.79534113,Porsche,Porsche
CNN Live Today,CNN,News,0.6595778,ESPN,ESPN
Montreal Alouettes,Montreal,Sports,0.67550206,Brooklyn,Brooklyn
Delhi,Hindi,Law_and_Government,0.48929372,Filipino,Filipino
Eschwege,Germany,Internet_and_Telecom,0.2926842,Spain,Spain
The Legend of Zelda,Nintendo,Games,0.4837769,Apple,Apple
Ireland,English,Jobs_and_Education,0.43130124,French,French
Helsinki,Finland,Business_and_Industrial,0.78520346,Germany,Finland
Dublin Institute of Technology,Dublin,Jobs_and_Education,0.6895273,Boston,Boston
Saratov,Russia,Jobs_and_Education,0.36251217,Romania,Romania
Honda NS500,Honda,Autos_and_Vehicles,0.7248075,Porsche,Porsche
Islamic Afghanistan,Kabul,People_and_Society,0.8251091,Delhi,Delhi
BMW M1,BMW,Autos_and_Vehicles,0.7705219,Airbus,Airbus
Honda NS500,Honda,Autos_and_Vehicles,0.7248075,Suzuki,Suzuki
Ferrari 360,Ferrari,Autos_and_Vehicles,0.8259815,Porsche,Porsche
Game Boy Advance SP,Nintendo,Games,0.4312191,Honda,Honda
BMW IIIa,BMW,Autos_and_Vehicles,0.7949094,Porsche,Porsche
Amazon Fire TV Stick,Amazon,Computers_and_Electronics,0.41283762,Dodge,Dodge
Fiat 1900,Fiat,Autos_and_Vehicles,0.8487584,Sony,Sony
Volvo 740,Volvo,Autos_and_Vehicles,0.7959323,Toyota,Toyota
Nokia 6700 slide,Nokia,Computers_and_Electronics,0.6064953,Fiat,Fiat
Daisuke Matsuzaka,Japan,Arts_and_Entertainment,0.36556488,Germany,Germany
Gian Lorenzo Bernini,Rome,Arts_and_Entertainment,0.32551953,Paris,Paris
BMW IIIa,BMW,Autos_and_Vehicles,0.7949094,Honda,Honda
The Legend of Zelda,Japan,Games,0.25015512,France,France
BMW M6,BMW,Autos_and_Vehicles,0.79534113,Honda,Honda
IBM System/34,IBM,Computers_and_Electronics,0.6707189,Chevrolet,Chevrolet
Rajneesh,India,Arts_and_Entertainment,0.39922905,Poland,Poland
BMW IIIa,BMW,Autos_and_Vehicles,0.7949094,Nissan,Nissan
Mali,Africa,People_and_Society,0.6248207,Asia,Africa
Cadillac Type 51,Cadillac,Autos_and_Vehicles,0.73535013,Renault,Renault
Toyota AE85,Toyota,Autos_and_Vehicles,0.7208749,Nissan,Nissan
Duchy of Austria,Vienna,Law_and_Government,0.6441143,Kiev,Kiev
Toyota NZ engine,Toyota,Autos_and_Vehicles,0.576648,Chrysler,Chrysler
Windows 3.1,Microsoft,Computers_and_Electronics,0.40846783,IBM,Microsoft
Nokia Asha 205,Nokia,Computers_and_Electronics,0.77404773,IBM,IBM
Microsoft Office 2007,Microsoft,Computers_and_Electronics,0.5901456,Sony,Sony
BMW N53,BMW,Autos_and_Vehicles,0.760483,Nissan,Nissan
Netherlands Trading Society,Amsterdam,Business_and_Industrial,0.5677755,Bedford,Bedford
Google Drive,Google,Internet_and_Telecom,0.5018311,IBM,IBM
Masashi Kishimoto,Japan,Arts_and_Entertainment,0.47584513,Taiwan,Taiwan
Honda 70,Honda,Autos_and_Vehicles,0.8059524,Renault,Renault
IBM OfficeVision,IBM,Computers_and_Electronics,0.6676792,Square,Square
Renault Twingo,Renault,Autos_and_Vehicles,0.72213113,Fiat,Fiat
Volvo XC60,Volvo,Autos_and_Vehicles,0.7404913,Fiat,Fiat
Vizianagaram district,India,Business_and_Industrial,0.37512994,Brazil,Brazil
Senkichi Taniguchi,Japan,Law_and_Government,0.37551755,Haiti,Haiti
Kingdom Hearts,Square,Games,0.25853738,Microsoft,Microsoft
Angola,Africa,People_and_Society,0.7237539,Europe,Europe
IBM RPG III,IBM,Computers_and_Electronics,0.6208813,Apple,Apple
Honda SFX,Honda,Autos_and_Vehicles,0.71327513,Sony,Sony
BMW M67,BMW,Autos_and_Vehicles,0.7653881,Porsche,Porsche
iPhone 7 Plus,Apple,Computers_and_Electronics,0.4774386,Dodge,Dodge
Nexus 7,Google,Computers_and_Electronics,0.2656661,Microsoft,Microsoft
AKA The Octopus,Netflix,Arts_and_Entertainment,0.2007305,History,History
BMW M52,BMW,Autos_and_Vehicles,0.78095865,Fiat,Fiat
Renault FT,Renault,Autos_and_Vehicles,0.8271744,Honda,Honda
Rajneesh,India,People_and_Society,0.39922905,Japan,Japan
Honda CB1100R,Honda,Autos_and_Vehicles,0.63139653,Apple,Apple
Comentarios Reales de los Incas,Spanish,News,0.38015714,German,Spanish
Ferrari 641,Ferrari,Autos_and_Vehicles,0.816978,BMW,BMW
BMW N55,BMW,Autos_and_Vehicles,0.79872805,Nissan,Nissan
IBM Rational Rose XDE,IBM,Computers_and_Electronics,0.5354817,Intel,Intel
Nissan Model 70,Nissan,Autos_and_Vehicles,0.69432515,Microsoft,Microsoft
Sony NEX-5,Sony,Computers_and_Electronics,0.72082937,Dodge,Dodge
BMW M6,BMW,Autos_and_Vehicles,0.79534113,Toyota,Toyota
Toronto,Canada,Business_and_Industrial,0.70632464,Austria,Austria
Wales,Cardiff,Law_and_Government,0.7634567,Prague,Prague
Nokia 1200,Nokia,Computers_and_Electronics,0.82384974,BMW,Nokia
Adobe Flash,Adobe,Computers_and_Electronics,0.7773186,Microsoft,Microsoft
Nokia Asha 205,Nokia,Computers_and_Electronics,0.77404773,Apple,Apple
Fiat 10 HP,Fiat,Autos_and_Vehicles,0.7012785,BMW,BMW
Zambia,Africa,People_and_Society,0.7274263,Europe,Europe
Industrial Development Bank of India,Mumbai,Finance,0.3613119,Paris,Mumbai
Ferrari 250 GTO,Ferrari,Autos_and_Vehicles,0.74742633,Boeing,Boeing
Yamaha XV250,Yamaha,Autos_and_Vehicles,0.7890028,Renault,Renault
Grete von Zieritz,piano,Arts_and_Entertainment,0.252203,violin,violin
Nokia 6760 Slide,Nokia,Computers_and_Electronics,0.5877035,IBM,IBM
Honda NSR75,Honda,Autos_and_Vehicles,0.6752424,Suzuki,Suzuki
National Institute of Occupational Health in Norway,Oslo,Health,0.44727314,Valencia,Valencia
Chromecast,Google,Computers_and_Electronics,0.265935,Toyota,Toyota
Mitsui & Co.,Tokyo,Business_and_Industrial,0.26962638,Toronto,Toronto
Masashi Kishimoto,Japan,Arts_and_Entertainment,0.47584513,India,India
Sony Pictures Classics,Sony,Computers_and_Electronics,0.7728082,Germany,the
Nissan Almera Tino,Nissan,Autos_and_Vehicles,0.6478131,Toyota,Toyota
Harvard Club of Boston,Boston,Jobs_and_Education,0.58852303,Frankfurt,Frankfurt
OneDrive,Microsoft,Computers_and_Electronics,0.4073013,Adobe,Adobe
National Gallery of Ireland ID,Ireland,Arts_and_Entertainment,0.5030606,Italy,Italy
Ferrari F399,Ferrari,Autos_and_Vehicles,0.81852037,Mercury,Ferrari
Intel 80486,Intel,Computers_and_Electronics,0.66700697,Honda,Honda
Google Container Registry,Google,Computers_and_Electronics,0.25657701,Nintendo,Nintendo
Nintendo Entertainment System,Nintendo,Computers_and_Electronics,0.7914435,Fiat,Fiat
Fiat 500 Moretti Coupé,Fiat,Autos_and_Vehicles,0.6721959,Toyota,Toyota
Toronto,Canada,Business_and_Industrial,0.70632464,Germany,Germany
Aalborg,Denmark,Business_and_Industrial,0.26783025,Italy,Italy
Suzuki RE5,Suzuki,Autos_and_Vehicles,0.79624593,Airbus,Airbus
Zeitschrift fuer Physikalische Chemie,German,Science,0.2971272,Russian,Russian
Nissan Almera Tino,Nissan,Autos_and_Vehicles,0.6478131,Dodge,Dodge
Akira Kurosawa,Japan,Arts_and_Entertainment,0.38350233,Poland,Poland
Google Vault,Google,Internet_and_Telecom,0.45156628,BBC,BBC
Ferrari 288 GTO,Ferrari,Autos_and_Vehicles,0.7493596,Douglas,Douglas
Renault Caravelle,Renault,Autos_and_Vehicles,0.75252485,Nokia,Nokia
Nissan Livina,Nissan,Autos_and_Vehicles,0.75592816,McLaren,McLaren
Nintendo 3DS,Nintendo,Computers_and_Electronics,0.7157253,Dodge,Dodge
Porsche 804,Porsche,Autos_and_Vehicles,0.7920185,BMW,BMW
Suzuki VX 800,Suzuki,Autos_and_Vehicles,0.6895391,Sony,Sony
Renault 25,Renault,Autos_and_Vehicles,0.8373145,IBM,IBM
Roman Catholic Archdiocese of Cincinnati,Cincinnati,People_and_Society,0.5430909,Beijing,Beijing
Nissan Be-1,Nissan,Autos_and_Vehicles,0.6902697,Toyota,Toyota
Porsche 550,Porsche,Autos_and_Vehicles,0.8087783,Nissan,Nissan
Fiat 510,Fiat,Autos_and_Vehicles,0.7762414,Toyota,Toyota
Prakasam district,India,Business_and_Industrial,0.3835814,Japan,Japan
Malta,Malta,Law_and_Government,1.0000001,Chile,Chile
IBM OfficeVision,IBM,Computers_and_Electronics,0.6676792,Boeing,Boeing
HBO Films,HBO,Arts_and_Entertainment,0.85578823,CBS,CBS
Skype,Microsoft,Internet_and_Telecom,0.37201476,BBC,BBC
Harvard Pilgrim Health Care,Boston,Health,0.32235524,London,London
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,BMW,BMW
Mitsubishi A6M Zero,Japan,Autos_and_Vehicles,0.28725454,Germany,Germany
Czechoslovak Socialist Republic,Prague,Law_and_Government,0.66633,Cardiff,Cardiff
Nokia X2-01,Nokia,Computers_and_Electronics,0.73606205,Sony,Sony
Nokia N78,Nokia,Computers_and_Electronics,0.8016609,Fiat,Fiat
GO Transit,Toronto,Travel_and_Transportation,0.25869167,Amsterdam,Amsterdam
BMW M3,BMW,Autos_and_Vehicles,0.85206366,Suzuki,Suzuki
ASP.NET MVC Framework,Microsoft,Computers_and_Electronics,0.20650701,IBM,IBM
Nokia N78,Nokia,Computers_and_Electronics,0.8016609,Volvo,Volvo
Fiat Viaggio,Fiat,Autos_and_Vehicles,0.6938572,Sega,Sega
Google Drive,Google,Internet_and_Telecom,0.5018311,Apple,Apple
Nokia 7270,Nokia,Computers_and_Electronics,0.7712946,IBM,Nokia
Kyoto Institute of Technology,Kyoto,Jobs_and_Education,0.7428421,London,London
Nokia N80,Nokia,Computers_and_Electronics,0.8103324,Renault,Renault
iPad,Apple,Computers_and_Electronics,0.6354518,Boeing,Boeing
Honda SFX,Honda,Autos_and_Vehicles,0.71327513,Suzuki,Suzuki
Nissan NX,Nissan,Autos_and_Vehicles,0.7679449,BMW,BMW
Dodge 3700,Dodge,Autos_and_Vehicles,0.74983424,Intel,Intel
Yahoo! Maps,Yahoo,Internet_and_Telecom,0.4849212,Greece,Greece
Lata Mangeshkar,India,Arts_and_Entertainment,0.30426604,Germany,Germany
Bavaria-Munich,Munich,People_and_Society,0.871567,Ankara,Ankara
Antarctic Treaty System,Antarctica,Law_and_Government,0.613626,Americas,Americas
Chrysler ecoVoyager,Chrysler,Autos_and_Vehicles,0.73265845,Volvo,Volvo
Fiat 1900,Fiat,Autos_and_Vehicles,0.8487584,Renault,Renault
Renault Mégane,Renault,Autos_and_Vehicles,0.74255276,Dodge,Dodge
Chevrolet Corvette C7 Grand Sport,Chevrolet,Autos_and_Vehicles,0.53133315,Porsche,Porsche
IBM 7030 Stretch,IBM,Computers_and_Electronics,0.58004093,Nissan,Nissan
Renault 7,Renault,Autos_and_Vehicles,0.88926685,Iran,Iran
Nintendo Entertainment System,Nintendo,Computers_and_Electronics,0.7914435,Nissan,Nintendo
Saxony-Anhalt,Germany,Business_and_Industrial,0.5453863,Spain,Spain
BMW N52,BMW,Autos_and_Vehicles,0.802217,Cadillac,Cadillac
Nokia 7270,Nokia,Computers_and_Electronics,0.7712946,Apple,Apple
Cadillac XLR,Cadillac,Autos_and_Vehicles,0.72789085,Chevrolet,Chevrolet
IBM RPG III,IBM,Computers_and_Electronics,0.6208813,Microsoft,Microsoft
BMW M60,BMW,Autos_and_Vehicles,0.76307315,Chevrolet,Chevrolet
Canadiana Authorities ID (former scheme),Canada,Law_and_Government,0.31522322,Israel,Israel
Västerås Municipality,Swedish,Law_and_Government,0.21584192,Finnish,Finnish
BMW N53,BMW,Autos_and_Vehicles,0.760483,Toyota,Toyota
IBM SAN File System,IBM,Computers_and_Electronics,0.42634618,Google,Google
Kotono Mitsuishi,Japan,Arts_and_Entertainment,0.31472975,Italy,Italy
Kreishauptmannschaft Dresden-Bautzen,Dresden,Sports,0.6548519,Helsinki,Helsinki
Barry Bonds,baseball,Sports,0.5091983,hockey,hockey
Toyota Harrier,Toyota,Autos_and_Vehicles,0.71718156,Sega,Sega
Nissan NPT-90,Nissan,Autos_and_Vehicles,0.6260925,BMW,BMW
Samsung Galaxy Note 8,Samsung,Internet_and_Telecom,0.5671632,Apple,Apple
Xbox 360,Microsoft,Computers_and_Electronics,0.47268212,Nissan,Nissan
John Roy Lynch,Chicago,Sensitive_Subjects,0.16413257,Connecticut,Connecticut
IBM SAN File System,IBM,Computers_and_Electronics,0.42634618,Microsoft,Microsoft
Jin Ping Mei,Chinese,Books_and_Literature,0.30257547,Hindi,Hindi
Boeing B-29 Superfortress,Boeing,Business_and_Industrial,0.58655715,Bentley,Bentley
Nissan 1400,Nissan,Autos_and_Vehicles,0.77447844,Jeep,Jeep
Wii U,Nintendo,Computers_and_Electronics,0.70873225,Ferrari,Ferrari
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,Dodge,Dodge
iPhone 12 Pro,Apple,Computers_and_Electronics,0.45414215,Honda,Honda
Windows 98,Microsoft,Computers_and_Electronics,0.4726273,Sega,Sega
Sydney Airport,Australia,Travel_and_Transportation,0.40975642,India,India
Papua New Guinea,English,Jobs_and_Education,0.17469424,Indonesian,Indonesian
Montesquieu,French,Jobs_and_Education,0.38263217,Swedish,Swedish
Honda CB650SC,Honda,Autos_and_Vehicles,0.5867445,Toyota,Toyota
Royal Astronomical Society,London,Science,0.25336134,Stockholm,Stockholm
Windows 3.0,Microsoft,Computers_and_Electronics,0.40877134,IBM,IBM
Antonio Gramsci,Rome,News,0.3427642,Manila,Manila
Heritage Railway Station of Canada ID,Canada,Travel_and_Transportation,0.30118316,Japan,Japan
Châtillon,French,Jobs_and_Education,0.38528445,Swedish,Swedish
Intel Data Plane Development Kit,Intel,Computers_and_Electronics,0.50257576,Apple,Apple
Ferrari California,Ferrari,Autos_and_Vehicles,0.9003384,Suzuki,Suzuki
Anantapuram district,India,Business_and_Industrial,0.3975882,Belgium,Belgium
Union between Sweden and Norway,Oslo,Law_and_Government,0.5016571,Lisbon,Lisbon
Sony,Japan,Computers_and_Electronics,0.3466978,Indonesia,Indonesia
Jerusalem District,Jerusalem,Business_and_Industrial,0.82036835,Damascus,Damascus
Intel 80186,Intel,Computers_and_Electronics,0.69258785,Toyota,Toyota
BMW M3 DTM,BMW,Autos_and_Vehicles,0.64577323,Cadillac,Cadillac
Google Earth,Google,Online_Communities,0.5337247,Intel,Intel
Apple TV+,Apple,Computers_and_Electronics,0.6028329,Boeing,Apple
Le Ventre de Paris,French,Arts_and_Entertainment,0.49744132,Spanish,Spanish
Ferrari California,Ferrari,Autos_and_Vehicles,0.9003384,Dodge,Dodge
Apple iAd Producer,Apple,Computers_and_Electronics,0.6338774,Sega,Sega
Ukrainian Catholic Archeparchy of Winnipeg,Winnipeg,People_and_Society,0.58502626,Toronto,Toronto
Toyota Camry XV20,Toyota,Autos_and_Vehicles,0.5900469,Nintendo,Nintendo
Microsoft Office 2010,Microsoft,Computers_and_Electronics,0.5901111,Amazon,Amazon
Tokyo Story,Japan,People_and_Society,0.57200205,Sweden,Sweden
Shaquille O'Neal,basketball,Sports,0.39953607,hockey,hockey
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,Chrysler,Chrysler
Royal Philosophical Society of Glasgow,Glasgow,Science,0.5774503,Houston,Houston
Masashi Kishimoto,Japan,Arts_and_Entertainment,0.47584513,Australia,Australia
Le Ventre de Paris,French,Arts_and_Entertainment,0.49744132,Ukrainian,Ukrainian
Windows 2000,Microsoft,Computers_and_Electronics,0.48770016,Adobe,Adobe
Renault 8,Renault,Autos_and_Vehicles,0.88893455,Mercury,Mercury
BMW N53,BMW,Autos_and_Vehicles,0.760483,Ferrari,Ferrari
Charles I of Austria,Vienna,Law_and_Government,0.5490359,Ottawa,Ottawa
People's Bank of China,Beijing,Finance,0.5288683,Mecca,Mecca
BMW N57,BMW,Autos_and_Vehicles,0.814489,Triumph,Triumph
iPhone X,Apple,Computers_and_Electronics,0.6332896,Suzuki,Suzuki
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,Nokia,Nokia
Singapore Heart Foundation,Singapore,Health,0.54760754,Mumbai,Mumbai
Google Drive,Google,Internet_and_Telecom,0.5018311,IBM,IBM
The Wire,HBO,Arts_and_Entertainment,0.35435194,TNT,TNT
Mitsubishi A6M Zero,Japan,Autos_and_Vehicles,0.28725454,Egypt,Egypt
Kuwait,Kuwait,Business_and_Industrial,1.0000001,Athens,Athens
Antonio Gramsci,Rome,News,0.3427642,Dresden,Dresden
Sony Mobile Communications,Sony,Internet_and_Telecom,0.66577274,BBC,BBC
Jeep Commander,Jeep,Autos_and_Vehicles,0.7786861,Fiat,Fiat
Xbox 360,Microsoft,Computers_and_Electronics,0.47268212,Sega,Sega
Toyota Camry XV40,Toyota,Autos_and_Vehicles,0.56710315,Fiat,Fiat
James Brokenshire,London,Business_and_Industrial,0.3521173,Madrid,Madrid
Toyota AZ engine,Toyota,Autos_and_Vehicles,0.6418855,Chevrolet,Chevrolet
Les Rougon-Macquart,France,Business_and_Industrial,0.36579818,Australia,Australia
Chevrolet Tru 140S,Chevrolet,Autos_and_Vehicles,0.5478186,BMW,BMW
Donkey Kong,Nintendo,Games,0.49830675,Square,Square
Giuseppe Ermini,Italy,Law_and_Government,0.28530553,Poland,Poland
Nissan Be-1,Nissan,Autos_and_Vehicles,0.6902697,Honda,Honda
Google Earth,Google,Online_Communities,0.5337247,Sega,Sega
Volvo 200 series,Volvo,Autos_and_Vehicles,0.82308793,Fiat,Fiat
Triumph TR4,Triumph,Autos_and_Vehicles,0.730212,Dodge,Dodge
Windows 2.0,Microsoft,Computers_and_Electronics,0.42736095,IBM,IBM
Nilgiris district,India,Travel_and_Transportation,0.34302354,Malaysia,Malaysia
Nissan Almera Tino,Nissan,Autos_and_Vehicles,0.6478131,Nintendo,Nintendo
IBM Rational Rose XDE,IBM,Computers_and_Electronics,0.5354817,Google,Google
Saxony-Anhalt,Germany,Business_and_Industrial,0.5453863,Canada,Canada
Honda NSR75,Honda,Autos_and_Vehicles,0.6752424,Fiat,Fiat
Heritage Railway Station of Canada ID,Canada,Travel_and_Transportation,0.30118316,Greece,Greece
Toyota AR engine,Toyota,Autos_and_Vehicles,0.5796393,Samsung,Samsung
Royal Philosophical Society of Glasgow,Glasgow,Science,0.5774503,Houston,Houston
Community of Madrid,Madrid,Law_and_Government,0.7940692,Paris,Paris
Game Boy Advance,Nintendo,Games,0.44017515,Adobe,Adobe
Renault R312,Renault,Autos_and_Vehicles,0.75861573,Nokia,Nokia
Toyota Camry XV40,Toyota,Autos_and_Vehicles,0.56710315,Nissan,Nissan
Schüpfheim,German,Jobs_and_Education,0.45777282,Finnish,Finnish
Fiat 24-32 HP,Fiat,Autos_and_Vehicles,0.6499034,Suzuki,Suzuki
Yahoo! Mail,Yahoo,Internet_and_Telecom,0.77142954,Sony,Sony
Samsung Galaxy S Duos 3,Samsung,Internet_and_Telecom,0.560706,Sega,Sega
Peru,Lima,Travel_and_Transportation,0.7733108,Valencia,Valencia
Fribourg,French,Jobs_and_Education,0.3258299,Finnish,Finnish
Volvo V50,Volvo,Autos_and_Vehicles,0.8107419,BMW,BMW
University of Washington School of Law,Seattle,Jobs_and_Education,0.33200568,Leeds,Leeds
Saint Pierre and Miquelon,French,Jobs_and_Education,0.27885184,Romanian,Romanian
Budapest Stock Exchange,Budapest,Finance,0.6656432,Moscow,Moscow
Ladakh,Hindi,Jobs_and_Education,0.3981533,Finnish,Finnish
BMW GINA,BMW,Autos_and_Vehicles,0.75757104,Porsche,Porsche
Nissan Rogue,Nissan,Autos_and_Vehicles,0.7844906,Douglas,Douglas
Fagersta Municipality,Sweden,Jobs_and_Education,0.26417768,Netherlands,Netherlands
Serdar Kurtuluş,Turkey,Law_and_Government,0.2219269,Denmark,Denmark
Trinidad and Tobago,English,Jobs_and_Education,0.26155713,Latin,Latin
PlayStation Eye,Sony,Computers_and_Electronics,0.58158493,Fiat,Fiat
Reliance Entertainment,Mumbai,News,0.34914726,London,London
Porsche 959,Porsche,Autos_and_Vehicles,0.7979906,Suzuki,Suzuki
Guru Dutt,India,Arts_and_Entertainment,0.27026534,Canada,Canada
Honda NSX (second generation),Honda,Autos_and_Vehicles,0.62392545,Renault,Renault
Roman Catholic Diocese of Santa Rosa,California,People_and_Society,0.19813839,Pennsylvania,Pennsylvania
Sony Alpha 550,Sony,Computers_and_Electronics,0.78122413,Fiat,Fiat
BMW M30,BMW,Autos_and_Vehicles,0.7986838,Dodge,Dodge
Honda CB650SC,Honda,Autos_and_Vehicles,0.5867445,Toyota,Toyota
Nokia X2-02,Nokia,Computers_and_Electronics,0.74945444,Chevrolet,Chevrolet
Google Earth,Google,Online_Communities,0.5337247,Microsoft,Microsoft
Warsaw Voivodeship,Warsaw,People_and_Society,0.8392883,Jerusalem,Jerusalem
IBM Rational AppScan,IBM,Computers_and_Electronics,0.39970386,Apple,Apple
Volvo 480,Volvo,Autos_and_Vehicles,0.8170979,BMW,BMW
Google Earth,Google,Online_Communities,0.5337247,Intel,Intel
Google Earth,Google,Online_Communities,0.5337247,Sega,Sega
University of Massachusetts Boston,Boston,Jobs_and_Education,0.6209899,Moscow,Moscow
Sony Alpha 550,Sony,Computers_and_Electronics,0.78122413,Fiat,Fiat
Apple Mouse,Apple,Computers_and_Electronics,0.6762837,IBM,IBM
Nissan Cima,Nissan,Autos_and_Vehicles,0.7344675,BMW,BMW
National Historic Sites of Canada ID,Canada,Travel_and_Transportation,0.36260965,India,India
Canada,English,Jobs_and_Education,0.43679878,Russian,Russian
Balıkesir Province,Turkey,Jobs_and_Education,0.4429737,Spain,Spain
Kotono Mitsuishi,Japan,Arts_and_Entertainment,0.31472975,Russia,Russia
Adobe Acrobat,Adobe,Computers_and_Electronics,0.7246564,IBM,IBM
iPod Touch,Apple,Computers_and_Electronics,0.643659,Chevrolet,Chevrolet
Adobe Flash Player,Adobe,Computers_and_Electronics,0.6321916,Microsoft,Microsoft
Nissan NPT-90,Nissan,Autos_and_Vehicles,0.6260925,Suzuki,Suzuki
IBM Unica NetInsight,IBM,Computers_and_Electronics,0.5492524,Apple,Apple
Intel Core i5,Intel,Computers_and_Electronics,0.6835482,Suzuki,Suzuki
Sony,Japan,Computers_and_Electronics,0.3466978,India,India
Nokia 1200,Nokia,Computers_and_Electronics,0.82384974,Renault,Renault
Kingdom of Montenegro,Serbian,Law_and_Government,0.4652708,Russian,Russian
Nissan Xterra,Nissan,Autos_and_Vehicles,0.7367408,Ferrari,Ferrari
University of Manitoba,Winnipeg,Jobs_and_Education,0.55053735,Beirut,Beirut
Google Chat,Google,Online_Communities,0.49713862,Croatia,Google
Nintendo DS,Nintendo,Computers_and_Electronics,0.7757567,Adobe,Adobe
Porsche 959,Porsche,Autos_and_Vehicles,0.7979906,Apple,Apple
iPhone SE (2nd generation),Apple,Computers_and_Electronics,0.4872989,Suzuki,Suzuki
Friedrich Meinecke,Berlin,Sensitive_Subjects,0.32846728,Kabul,Kabul
BMW N74,BMW,Autos_and_Vehicles,0.75841725,Chevrolet,Chevrolet
Windows Server 2000,Microsoft,Computers_and_Electronics,0.42454788,Dodge,Dodge
Honda NS500,Honda,Autos_and_Vehicles,0.7248075,Airbus,Airbus
Boeing B-52 Stratofortress,Boeing,Business_and_Industrial,0.53711843,IBM,IBM
Ferrari F2012,Ferrari,Autos_and_Vehicles,0.82301086,Nokia,Nokia
